stage_name,family_birth_name,given_first_name,gender,role_type,start_year,end_year,birth_year,death_year,birth_country,,,,,,
Kurt Kasznar,Kac,Isser,M,chubby,1951,1967,1913,1979,Austria,,,,,,
Kurt Katch,Kac,Isser,M,bald,1951,1969,1896,1958,Poland,,,,,,
Rosanne Katon,,,,,,,,,,,,,,,
William Katt,Katt,William,M,lead,1976,1982,1955,,USA,,,,,,
Daniel Kauffman,,,M,,,,,,,,,,,,
Andy Kaufman,,,M,,,,,,,,,,,,
Joseph Kaufmann,,,M,,,,,,,,,,,,
Dorrie Kavanaugh,,,F,,,,,,,,,,,,
Julie Kavner,Kavner,Julie,F,,1992,,,,USA,,,,,,
Charles Kay,,,M,,,,,,,,,,,,
Diane Kay,,,F,,,,,,,,,,,,
Caren Kaye,,,F,,,,,,,,,,,,
Danny Kaye,Kaminsky,David Daniel,M,ebullient,1944,1976,1913,1987,USA,,,,,,
Stubby Kaye,Kaye,Stubby,M,rotund comic,1955,1968,1918,1997,USA,,,,,,
Elia Kazan,Kazanjoglous,Elia,M,distinguished,1940,1941,1909,,Turkey,,,,,,
Lainie Kazan,,,F,,,,,,,,,,,,
James Keach,Keach,James,M,cowboy,1975,1983,,,USA,,,,,,
Stacy Keach,Keach,Stacy,M,general purpose,1968,1983,1941,,USA,,,,,,
Robert Emmett Keane,Keane,Robert Emmett,M,toothbrush-moustached character,1931,1956,1883,1981,USA,,,,,,
Buster Keaton,Keaton,Joseph Francis,M,clown,1917,1966,1895,1966,USA,,,,,,
Diane Keaton,Hall,Diane,F,round-faced,1970,1984,1949,,USA,,,,,,
Michael Keaton,Keaton,Michael,M,diffident,1982,1983,1952,,USA,,,,,,
Steven Keats,Keats,Steven,M,general purpose,1974,1982,1945,,USA,,,,,,
Lila Kedrova,Kedrova,Lila,F,flamboyant,1953,1979,1918,,Russia,,,,,,
Howard Keel,Leek,Harold,M,stalwart lead,1948,1981,1917,,USA,,,,,,
Ruby Keeler,Keeler,Ethel,F,petite dancer,1933,1970,1909,1993,USA,,,,,,
Geoffrey Keen,Keen,Geoffrey,M,incisive character,1950,1979,1916,,Great Britain,,,,,,
Malcolm Keen,Keen,Malcolm,M,character,1926,1960,1888,1970,Great Britain,,,,,,
Tom Keene,Duryea,George,M,western star,1928,1956,1896,1963,USA,,,,,,
Jack Kehoe,,,M,,,,,,,,,,,,
Kishi Keiko,,,F,,,,,,,,,,,,
Andrew Keir,Keir,Andrew,M,character, stern,1950,,1926,,Great Britain,,,,,
Harvey Keitel,Keitel,Harvey,M,,1973,1983,1947,,USA,,,,,,
Brian Keith,Keith,Robert~jr.,M,easy-going,1952,1983,1921,,USA,,,,,,
David Keith,,,M,,,,,,,,,,,,
Ian Keith,Ross,Keith,M,character,1924,1956,1899,1960,USA,,,,,,
Robert Keith,Keith,Robert,M,character,1947,1961,1896,1966,USA,,,,,,
Cecil Kellaway,Kellaway,Cecil,M,rogue,1939,1970,1891,1973,South Africa,,,,,,
Dorothy Keller,,,F,,,,,,,,,,,,
Helen Keller,Keller,Helen,F,blind, deaf,1919,,1881,1968,USA,,,,,
Marthe Keller,Keller,Marthe,F,lead,1976,1982,1945,,Switzerland,,,,,,
Australia swimming sta Kellerman,,,,,,,,,,,,,,,
Annette Kellerman,Kellerman,Annette,F,swimmer,1914,1918,1888,1975,Australia,,,,,,
Sally Kellerman,Kellerman,Sally,F,lead,1965,1980,1941,,USA,,,,,,
Susan Kellerman,,,F,,,,,,,,,,,,
DeForest Kelley,Kelley,DeForest,M,general purpose,1947,1979,1920,,USA,,,,,,
Mike Kellin,Kellin,Mike,M,,1952,1981,1922,1983,USA,,,,,,
Emmett Kelly,Kelly,Emmett,M,clown,1951,1958,1895,1979,USA,,,,,,
Fred Kelly,Kelly,Frederick,M,dancer,1954,,,,USA,,,,,,
Gene Kelly,Kelly,Eugene Curran,M,breezy dancer,1942,1980,1912,1982,USA,,,,,,
Grace Kelly,Kelly,Princess Grace of Monaco,F,cool inner warmth,1951,1956,1928,1982,USA,,,,,,
Jeanette Kelly,,,F,,,,,,,,,,,,
Jim Kelly,,,M,,,,,,,,,,,,
Moira Kelly,Kelly,Moira,F,spunky,1991,1994,1969,,USA,,,,,,
Nancy Kelly,Kelly,Nancy,F,lead,1938,1973,1921,,USA,,,,,,
Patsy Kelly,Kelly,Patsy,F,dumpy,1933,1979,1910,1981,USA,,,,,,
Paul Kelly,Kelly,Paul,M,lead,1920,1957,1899,1956,USA,,,,,,
Paula Kelly,Kelly,Paula,F,tall, elegant, black,1976,,,,USA,,,,
Sharon Kelly,,,F,,,,,,,,,,,,
Tommy Kelly,Kelly,Tommy,M,child,1938,1938,1928,,USA,,,,,,
Moultrie Kelsall,Kelsall,Moultrie,M,character,1949,1960,1901,1980,Great Britain,,,,,,
Fred Kelsey,Kelsey,Fred,M,lugubrious sheriff,1921,1954,1884,1961,USA,,,,,,
Pert Kelton,Kelton,Pert,M,character comedienne,1929,1969,1907,1968,USA,,,,,,
Gary Kemp,Kemp,Gary,M,rocker,1990,,1959,,Great Britain,,,,,,
Jeremy Kemp,Walker,Edmund,M,lead,1965,1983,1934,,Great Britain,,,,,,
Martin Kemp,Kemp,Martin,M,rocker,1990,,1961,,Great Britain,,,,,,
Rachel Kempson,,,F,,1963,1966,,,,,,,,,
Joan KempWelch,Kemp-Welch,Joan,M,character, shy girls,1935,,1906,,Great Britain,,,,,
Takakura Ken,,,,,,,,,,,,,,,
Cyrus O. Kendall,Kendall,Cyrus,M,cigar-chewing heavy,1936,1945,1898,1953,USA,,,,,,
Henry Kendall,Kendall,Henry,M,revue star,1921,1955,1887,1962,Great Britain,,,,,,
Kay Kendall,McCarthy,Justine,F,stylish,1944,1959,1926,1959,Great Britain,,,,,,
Suzy Kendall,Harrison,Frieda,F,lead,1967,1973,1943,,Great Britain,,,,,,
Tony Kendall,,,M,,,,,,,,,,,,
Alexa Kenin,,,F,,,,,,,,,,,,
Arthur Kennedy,Kennedy,Arthur,M,lead,1940,1978,1914,1990,USA,,,,,,
Douglas Kennedy,Douglas,Keith,M,lead, character,1940,,1915,1973,USA,,,,,
Edgar Kennedy,Kennedy,Edgar,M,explosive, comic cop,1915,,1890,1948,USA,,,,,
George Kennedy,Kennedy,George,M,menacing,1960,1981,1925,1998,USA,,,,,,
Gerard Kennedy,,,M,,,,,,,,,,,,
Jayne Kennedy,,,F,,,,,,,,,,,,
Merna Kennedy,Kahler,Maude,F,lead,1928,1934,1908,1944,USA,,,,,,
Leon Isaac Kennedy,,,M,,,,,,,,,,,,
James Kenney,Kenney,James,M,juvenile actor,1947,1958,1930,,Great Britain,,,,,,
Sean Kenney,,,M,,,,,,,,,,,,
Jill Kennington,,,F,,,,,,,,,,,,
Patsy Kensit,Kensit,,F,saucy, musician,1990,,1969,,,,,,,
Dorothea Kent,,,F,,,,,,,,,,,,
Jean Kent,Field,Joan,F,lead,1935,1960,1921,,Great Britain,,,,,,
Keneth Kent,Kent,Keneth,M,,1939,1940,1882,1963,Great Britain,,,,,,
Doris Kenyon,Kenyon,Doris,F,silent-screen lead,1916,1964,,,USA,,,,,,
Bill Kerr,,,M,,,,,,,,,,,,
Deborah Kerr,Kerr-Trimmer,Deborah,F,proper,1940,1969,1921,1995,Great Britain,,,,,,
J. Herbert Kerr~jr.,,,M,,,,,,,,,,,,
John Kerr,Kerr,John,M,lead,1955,1962,1931,,USA,,,,,,
Linda Kerridge,,,F,,,,,,,,,,,,
J. M. Kerrigan,Kerrigan,J.M.,M,character,1935,1956,1885,1964,Ireland,,,,,,
Norman Kerry,Kaiser,Arnold,M,lead,1916,1931,1889,1956,USA,,,,,,
Kathy Kersh,,,F,,,,,,,,,,,,
Brian Kerwin,,,M,,,,,,,,,,,,
Lance Kerwin,,,M,,,,,,,,,,,,
Jillian Kessner,,,F,,,,,,,,,,,,
Sara Kestelman,,,F,,,,,,,,,,,,
Evelyn Keyes,Keyes,Evelyn,F,dancer, lead,1938,,1919,,USA,,,,,
Mark Keyloun,,,M,,,,,,,,,,,,
Persis Khambatta,Khambatta,Persis,F,lead,1979,1982,1950,,India,,,,,,
Chaka Khan,,,,,,,,,,,,,,,
Guy Kibbee,Kibbee,Guy,M,genial,1931,1949,1882,1956,USA,,,,,,
Michael Kidd,Greenwald,Milton,M,dancer,1953,1979,,,USA,,,,,,
Margot Kidder,Kidder,Margot,F,lead,1969,1983,1948,,Canada,,,,,,
Nicole Kidman,Kidman,Nicole,F,ty,1990,,1967,,Australia,,,,,,
Dead End Kids,,,G,young hooligans,1937,,1937,,USA,,,,,,
East Side Kids,,,G,young hooligans,1939,,1939,,USA,,,,,,
Richard Kiel,Kiel,Richard,M,huge,1962,1983,1939,,USA,,,,,,
Wolfgang Kieling,Kieling,Wolfgang,M,character,1936,1972,1924,,Germany,,,,,,
Percy Kilbride,Kilbride,Percy,M,wily hayseed roles,1933,1959,1888,1964,USA,,,,,,
Terry Kilburn,Kilburn,Terry,M,boy actor,1938,1958,1926,,Great Britain,,,,,,
Richard Kiley,Kiley,Richard,M,general purpose,1951,1981,1922,,USA,,,,,,
Victor Kilian,Kilian,Victor,M,charactor,1932,1976,1897,1979,USA,,,,,,
Val Kilmer,Kilmer,Val,M,ty,1990,1994,1959,,USA,,,,,,
Stanley Kim,Reid,Patricia,F,,1958,1983,1921,,USA,,,,,,
Bruce Kimmel,,,M,,,,,,,,,,,,
Anthony Kimmins,Kimmins,Anthony,M,light comedy,1933,1934,1901,1964,Great Britain,,,,,,
Stephen Kinanju,,,M,,,,,,Kenya,,,,,,
Adrienne King,,,M,,,,,,,,,,,,
Alan King,Kniberg,Irwin,M,cabaret comedian,1955,1983,1924,,USA,,,,,,
Andrea King,Barry,Georgetta,M,lead,1944,1969,1915,,France,,,,,,
Anita King,King,Anita,F,silent lead,1914,1914,1889,1963,USA,,,,,,
Bernard King,,,M,,,,,,,,,,,,
Charles King,King,Charles,M,song and dance,1928,1930,1889,1944,USA,,,,,,
Charles King,King,Charles,M,western heavy,1932,1943,1899,1957,USA,,,,,,
Mabel King,,,F,,,,,,,,,,,,
Pamela King,,,F,,,,,,,,,,,,
Perry King,King,Perry,M,lead,1971,1982,1948,,USA,,,,,,
Stephen King,King,Stephen,M,,,,1940,,USA,,,,,,
Walter Woolf King,King,Walter Woolf,M,villain roles,1935,1958,1899,,USA,,,,,,
Zalman King,,,M,,,,,,,,,,,,
Walter Kingsford,Kingsford,Walter,M,kindly professional role,1935,1958,1882,1958,Great Britain,,,,,,
Ben Kingsley,Banji,Krishna,M,character,1982,,1944,1998,Great Britain,,,,,,
Melinda Kinnaman,,,F,,,,,,,,,,,,
Greg Kinnear,Kinnear,Greg,M,,1997,,1963,,USA,,,,,,
Roy Kinnear,Kinnear,Roy,M,bulbous,1962,1982,1934,1988,Great Britain,,,,,,
Leonid Kinskey,Kinskey,Leonid,M,lanky, intense, dumb revolutionary,1955,,1903,1992,Russia,,,,
Klaus Kinski,Nakszynski,Claus Gunther,M,intense,1954,1984,1926,1991,Germany,,,,,,
Nastassia Kinsky,Kinski,Nastassia,F,slinky,1976,1984,1959,,Germany,,,,,,
Lee Kinsolving,Kinsolving,Lee,F,teenage lead,1960,1961,1938,1974,USA,,,,,,
Bruno Kirby,,,M,,,,,,,,,,,,
Phyllis Kirk,Kirkegaard,Phyllis,F,lead,1950,1959,1926,,USA,,,,,,
Tommy Kirk,Kirk,Tommy,M,juvenile lead,1957,1965,1941,,USA,,,,,,
Al Kirkeby,,,M,,,,,,,,,,,,
Sally Kirkland,,,F,,,,,,,,,,,,
James Kirkwood,,,M,sr,1921,,,11989,USA,,,,,,
Oreste Kirkop,Kirkop,Oreste,M,operatic singer,1955,1955,,,Maltese,,,,,,
Terry Kiser,,,,,,,,,,,,,,,
Tawny Kitaen,,,F,,,,,,,,,,,,
Michael Kitchen,,,M,,,,,,,,,,,,
Eartha Kitt,Kitt,Eartha,F,vibrant, slinky singer,1954,,1928,,USA,,,,,
John Kitzmiller,Kitzmiller,John,M,Creole cabaret singer,1946,1965,1913,1965,USA,,,,,,
Alf Kjellin,Kjellin,Alf,M,,1944,1970,1920,,Sweden,,,,,,
Bodil Kjer,,,M,,,,,,,,,,,,
Robert Klein,,,M,,,,,,,,,,,,
Rudolf KleinRogge,Klein-Rogge,Rudolf,M,character,1921,1942,1888,1955,Germany,,,,,,
Werner Klemperer,Klemperer,Werner,M,nazi agent,1956,1981,1919,,Germany,,,,,,
Kevin Kline,,,M,,,,,,,,,,,,
Val Kline,,,M,,,,,,,,,,,,
Debra Klose,,,,,,,,,,,,,,,
Jack Klugman,Klugman,Jack,M,lean, wimp,1956,,1922,,USA,,,,,
Evelyn Knapp,Knapp,Evelyn,F,lead,1931,1943,1908,1981,USA,,,,,,
David Knell,,,M,,,,,,,,,,,,
Evel Knievel,,,M,,,,,,,,,,,,
David Knight,Mintz,David,M,lead,1955,1963,1927,,USA,,,,,,
Esmond Knight,Knight,Esmond,M,soldier,1931,1970,1906,1987,Great Britain,,,,,,
Sandra Knight,,,F,,,,,,,,,,,,
Shirley Knight,Knight Hopkins,Shirley,F,lead,1959,1982,1937,,USA,,,,,,
Ted Knight,,,M,,1960,,,1986,,,,,,,
Don Knotts,Knotts,Don,M,`hayseed' comedian,1960,1981,1924,,USA,,,,,,
Patric Knowles,Knowles,Reginald,M,light lead,1934,1973,1911,,Great Britain,,,,,,
Alexander Knox,Knox,Alexander,M,quiet-spoken,1938,1983,1907,,Canada,,,,,,
Walter Koenig,,,M,,,,,,,,,,,,
Fred Kohler sr.,Kohler sr.,Fred,M,western badman,1919,1938,1889,1938,USA,,,,,,
Clarence Kolb,Kolb,Clarence,M,explosive executive,1938,1957,1874,1964,USA,,,,,,
Henry Kolker,Kolker,Henry,M,heavy lawyer,1915,1947,1874,1947,USA,,,,,,
Anna Konstam,,,F,,,,,,,,,,,,
Phyllis Konstam,Konstam,Phyllis,F,heroine,1928,1960,1907,1976,Great Britain,,,,,,
Leopoldine Konstatin,,,F,,,,,,,,,,,,
Keystone Kops,Sterling,Ford,G,zany comics,1912,1920,1912,1920,USA,,,,,,
Miliza Korjus,Korjus,Miliza,F,singer,1938,1942,1908,1980,Poland,,,,,,
Harvey Korman,Korman,Harvey,M,loud-mouth,1966,1978,1927,,USA,,,,,,
Charlie Korsmo,,,M,,,,,,,,,,,,
Fritz Kortner,Kohn,Fritz Nathan,M,character,1916,1948,1892,1970,Austria,,,,,,
Charles Korvin,Kaiser,Geza,M,lead,1944,1959,1907,,Czechoslovakia,,,,,,
Sylva Koscina,Koscina,Sylva,F,lead,1960,1970,1935,,Yugoslavia,,,,,,
Martin Kosleck,Yoshkin,Nicolai,M,character,1939,1970,1907,,Russia,,,,,,
Linda Koslowski),Koslovski,Linda,F,romatic businesswoman,1987,,,,,,,,,,
David Kossoff,Kossoff,David,M,character,1950,1964,1919,,Great Britain,,,,,,
Sho Kosugi,,,,,,,,,,,,,,,
Yaphet Kotto,Kotto,Yaphet,M,black character,1968,1983,1937,,USA,,,,,,
Nancy Kovack,Kovack,Nancy,F,lead,1960,1969,1935,,USA,,,,,,
Jeroen Krabbe,Krabbe,Jeroen,M,sr,1992,1993,,,Netherlands,,,,,,
Ernie Kovacs,Kovacs,Ernie,M,big, cigar-smoking,1957,,1919,1962,USA,,,,,
Jeffrey Kramer,,,M,,,,,,,,,,,,
Werner Krauss,Krauss,Werner,M,distinguished,1916,1959,1884,1959,Germany,,,,,,
Kurt Kreuger,Kreuger,Kurt,M,continental heartthrob,1943,1967,1917,,Switzerland,,,,,,
Lisa Kreuzer,,,F,,,,,,,,,,,,
Anneline Kriel,,,F,,,,,,,,,,,,
Alice Krige,Krige,Alice,F,lead,1981,1997,,,South Africa,,,,,,
Sylvia Kristel,Kristel,Sylvia,F,lead, nude,1973,,1952,,France,,,,,
Marta Kristen,,,F,,,,,,,,,,,,
Kris Kristofferson,Kristofferson,Kris,M,lead, singer,1972,,1936,,USA,,,,,
Joseph Kroner,,,M,,,,,,,,,,,,
Alma Kruger,Kruger,Alma,F,nurse,1936,1947,1868,1960,USA,,,,,,
Hardy Kruger,Kruger,Hardy,M,lead,1943,1979,1928,,Germany,,,,,,
Otto Kruger,Kruger,Otto,M,suave,1932,1964,1885,1974,USA,,,,,,
Gene Krupa,,,M,musician,,,,,USA,,,,,,
Jack Kruschen,Kruschen,Jack,M,character comedian,1949,1981,1922,,USA,,,,,,
Vivian Kubrick,,,F,,,,,,,,,,,,
Youki Kudoh,Kudoh,Youki,F,lively,1989,1992,1971,,Japan,,,,,,
Paul Kukas,,,M,,,,,,,,,,,,
Nancy Kulp,Kulp,Nancy,F,comedy,1952,1981,1919,1991,USA,,,,,,
Cal Kuniholme,,,M,,,,,,,,,,,,
Alwyn Kurts,,,,,,,,,,,,,,,
Katy Kurtzman,,,F,,,,,,,,,,,,
James Kushner,,,M,,,,,,,,,,,,
Nancy Kwan,Kwan,Nancy,F,exotic,1960,1978,1938,,China,,,,,,
Burt Kwouk,Kwouk,Burt,M,assistant,1964,1982,1930,,Great Britain,,,,,,
Sam Kydd,Kydd,Sam,M,character comedian,1945,1966,1917,1982,Great Britain,,,,,,
Machiko Kyo,Kyo,Machiko,F,lead,1950,1958,1924,,Japan,,,,,,
Kay Kyser,Kyser,Kay,M,mild-mannered,1939,1944,1897,,USA,,,,,,
David Labiosa,,,M,,,,,,,,,,,,
Catherine Lacey,Lacey,Catherine,F,sympathetic spinsters, eccentric types,1938,,1904,1979,Great Britain,,,,,
Ronald Lacey,,,M,,1964,1984,,1991,,,,,,,
Taylor Lacher,,,M,,,,,,,,,,,,
Stephen Lack,,,M,,,,,,,,,,,,
Frank Lackteen,Lackteen,Frank,M,character,1916,1965,1894,1968,USA,,,,,,
Denis Lacroix,,,M,,,,,,,,,,,,
Jerry Lacy,,,M,,,,,,,,,,,,
Alan Ladd,Ladd,Alan,M,unsmiling, pint-sized tough-guy,1932,[4.108,1134],1913,1964,USA,,,,
Cheryl Ladd,Stoppelmoor,Cheryl,F,lead,1973,1983,1951,,USA,,,,,,
David Ladd,,,M,,,,,,,,,,,,
Diane Ladd,Ladnier,Diane,F,lead,1973,1983,1932,,USA,,,,,,
Patricia Laffan,Laffan,Patricia,F,,1945,1956,1919,,Great Britain,,,,,,
Marcy Lafferty,,,F,,,,,,,,,,,,
Bert Lahr,Lahrheim,Irving,M,wry-faced vaudeville comedian,1931,1968,1895,1967,USA,,,,,,
Christine Lahti,,,F,,,,,,,,,,,,
Gary Lahti,,,M,,,,,,,,,,,,
Frankie Laine,LoVecchio,Frank Paul,M,pop singer,1950,1956,1913,,USA,,,,,,
Jenny Laird,Laird,Jenny,F,character,1939,1960,1917,,Great Britain,,,,,,
Arthur Lake,Silverlake,Arthur,M,harassed, crumpled-faced,1917,,1905,,USA,,,,,
Veronica Lake,Ockleman,Constance,F,petite lead,1939,1970,1919,1973,USA,,,,,,
Barbara LaMarr,LaMarr,Barbara,F,lead, silent films,1922,,1896,1926,USA,,,,,
Hedy Lamarr,Kiesler,Hedwig,F,lead,1933,1957,1913,,Austria,,,,,,
Fernando Lamas,Lamas,Fernando,M,sexy,1951,1978,1915,1982,Argentina,,,,,,
Lorenzo Lamas,,,M,,,,,,,,,,,,
Gil Lamb,Lamb,Gil,M,rubber-boned comic,1942,1967,1906,,USA,,,,,,
Christopher Lambert,Lambert,Christopher,M,ape man,1984,,,,USA,,,,,,
Constant Lambert,Lambert,Constant,M,conductor,1947,1947,1905,1951,Great Britain,,,,,,
Jack Lambert,Lambert,Jack,M,character,1936,1966,1899,1976,Great Britain,,,,,,
Jack Lambert,Lambert,Jack,M,evil-eyed heavy character,1943,1963,1920,,USA,,,,,,
Paul Lambert,,,M,,,,,,,,,,,,
Heath Lamberts,,,,,,,,,,,,,,,
Lloyd Lamble,Lamble,Lloyd,M,detective, official, other man,1960,,1914,,Australia,,,,
Duncan Lamont,Lamont,Duncan,M,,1953,1976,1918,,Great Britain,,,,,,
Molly Lamont,,,F,,,,,,,,,,,,
Dorothy Lamour,Kaumeyer,Dorothy,F,good-humoured exotic,1936,1976,1914,,USA,,,,,,
Charles Lampkin,,,M,,,,,,,,,,,,
Burt Lancaster,Lancaster,Burt,M,athletic, lead,1946,[4.378][4.46,173][9.162],1913,1994,USA,,,,
Karl Lanchbury,,,M,,,,,,,,,,,,
Elsa Lanchester,Sullivan,Elizabeth,F,evil,1928,1976,1902,1986,Great Britain,,,,,,
Geoffrey Land,,,M,,,,,,,,,,,,
David Landau,Landau,David,M,character,1931,1934,1878,1935,USA,,,,,,
Martin Landau,Landau,Martin,M,gaunt,1959,1994,1933,1998,USA,,,,,,
Judy Landers,,,F,,,,,,,,,,,,
Elissa Landi,Kuhnelt,Elizabeth,F,lead,1929,1943,1904,1948,Italy,,,,,,
Marla Landi,Landi,Maria,F,lead,1957,1965,1937,,Italy,,,,,,
Carole Landis,Ridste,Frances,F,lead,1937,1948,1919,1948,USA,,,,,,
Cullen Landis,Landis,Cullen,M,hero,1917,1924,1896,1975,USA,,,,,,
Jessie Royce Landis,Medbury,Jessie Royce,F,fluttery comedienne,1955,1959,1904,1972,USA,,,,,,
Laurene Landon,,,,,,,,,,,,,,,
Michael Landon,Orowitz,Michael,M,lead,1957,1974,1937,1991,USA,,,,,,
Valerie Landsburg,,,F,,,,,,,,,,,,
Abbe Lane,,,,,,,,,,,,,,,
Allan Rocky' Lane,Albershart,Harry,M,cowboy star,1932,1964,1901,1973,USA,,,,,,
Charles Lane,Lane,Charles,M,character,1936,1980,1899,,USA,,,,,,
Diane Lane,Lane,Diane,F,,1979,1993,1965,,,,,,,,
Jocelyn Lane,,,F,model,1965,,,,,,,,,,
Lola Lane,Mulligan,Lola,F,lead,1929,1940,1909,1981,USA,,,,,,
Lupino Lane,Lupino,Henry George,M,diminutive, dapper,1922,,1892,1959,Great Britain,,,,,
Kent Lane,,,M,youth,1969,,,,,,,,,,
Mike Lane,,,M,,,,,,,,,,,,
Priscilla Lane,Mulligan,Priscilla,F,lead,1938,1948,1917,,USA,,,,,,
Rosemary Lane,Mulligan,Rosemary,F,lead,1938,1945,1913,1974,USA,,,,,,
Richard Lane,Lane,Richard,M,reporter, cop,1937,[4.458],1900,,,,,,,
Rusty Lane,Lane,,M,busybody,1956,,,,USA,,,,,,
Tom Lane,Lenesky,Tom,M,young,1997,,,,USA,,,,,,
Matheson Lang,Lang,Matheson,M,,1921,1936,1879,1948,Great Britain,,,,,,
Perry Lang,,,M,,,,,,,,,,,,
Robert Lang,Lang,Robert,M,character,1973,1979,1934,,Great Britain,,,,,,
Glenn Langan,Langan,Glenn,M,light lead,1944,1957,1917,,USA,,,,,,
Harry Langdon,Langdon,Harry,M,melancholic,1923,1944,1884,1944,USA,,,,,,
Michael Langdon,Langdon,Michael,F,good guy,1991,,,1991,USA,,,,,,
Sue Ane Langdon,Langdon,Sue Ane,F,lead, comedienne,1961,,1940,,USA,,,,,
Hope Lange,Lange,Hope,F,lead,1956,1979,1931,,USA,,,,,,
Jessica Lange,Lange,Jessica,F,lead,1976,1982,1949,,USA,,,,,,
Frank Langella,Langella,Frank,M,lead,1970,1981,1940,,USA,,,,,,
Frances Langford,Langford,Frances,F,band singer,1935,1954,1914,,USA,,,,,,
Lillie Langtry,LeBreton,Emilie Charlotte,F,light lead,1913,1913,1853,1929,USA,,,,,,
Angela Lansbury,Lansbury,Angela,F,detective,1944,1983,1925,,Great Britain,,,,,,
Joi Lansing,Wassmansdoff,Joyce,F,sharp blonde,1948,1971,1928,1972,USA,,,,,,
Robert Lansing,Broom,Robert H.,M,cold-eyed, virile lead,1959,,1929,,USA,,,,,
Mario Lanza,Cocozza,Alfredo,M,opera singer,1949,1958,1921,1959,USA,,,,,,
Laurie Lapinski,,,F,,,,,,,,,,,,
Laura LaPlante,LaPlante,Laura,F,lead,1921,1957,1904,,USA,,,,,,
Jane Lapotaire,Lapotaire,Jane,F,diminutive,1969,1975,1941,,USA-Fr,,,,,,
Rod LaRocque,LaRocque de la Rour,Roderick,M,lead in silent films,1917,1941,1896,1969,USA,,,,,,
Erik Larsen,,,M,,,,,,,,,,,,
Ham Larsen,,,M,,,,,,,,,,,,
Keith Larsen,Larsen,Keith,M,secondstring lead,1952,1960,1925,,USA,,,,,,
Wolf Larson,,,M,jungle boy,1991,,1959,,USA,,,,,,
Jack LaRue,Biondolillo,Gaspare,M,grim-faced, gangster,1934,,1927,,USA,,,,,
Louise Lasser,Lasser,Louise,F,,1971,1980,1939,,USA,,,,,,
Sidney Lassick,,,M,,,,,,,,,,,,
Lassie,,Pal,A,dog,1943,,,,USA,,,,,,
Louise Latham,Latham,Louise,F,,1964,1978,,,USA,,,,,,
Frank Latimore,Kline,Frank,M,lead,1944,1976,,,USA,,,,,,
Matt Lattanzi,,,M,,,,,,,,,,,,
Lyle Lattel,,,M,,,,,,,,,,,,
Ellen Hamilton Latzen,Latzen,,F,girl,1988,,,,,,,,,,
Chester Lauck,Lauck,Chester,M,hillbilly: Lum,1940,1942,1902,1980,USA,,,,,,
Tom Laughlin,Laughlin,Tom,M,,1967,1975,1938,,USA,,,,,,
Charles Laughton,,,M,wry,1939,,1899,1962,Great Britain,,,,,,
Cyndi Lauper,Lauper,Cynthia,F,sr,,,1953,,USA,,,,,,
Carol Laure,,,F,,,,,,,,,,,,
Stan Laurel,Jefferson,Arthur Stanley,M,thin comic,1915,1974,1890,1965,Great Britain,,,,,,
Laurel and Hardy,Laurel and Hardy,Stan and Oliver,G,comics,1915,1952,,,Great Britain,,,,,,
John Laurie,,,M,,1935,,,1980,,,,,,,
Piper Laurie,Jacobs,Rosetta,F,pert,1950,1978,1932,,USA,,,,,,
Ed Lauter,Lauter,Ed,M,general purpose,1973,1983,1940,,USA,,,,,,
Harry Lauter,Lauter,Harry,M,supporting,1948,1968,1920,,USA,,,,,,
Daliah Lavi,Lavi,Daliah,F,lead,1963,1972,1940,,Israel,,,,,,
John Phillip Law,Law,John Phillip,M,lead,1966,1981,1937,,USA,,,,,,
Peter Lawford,Lawford,Peter,M,light lead,1931,1975,1923,,Great Britain,,,,,,
Jody Lawrence,Goddard,Josephine Lawrence,F,lead,1951,1962,1930,,USA,,,,,,
Adam Lawrence,,,M,,,,,,,,,,,,
Barbara Lawrence,Lawrence,Barbara,F,wise-cracking,1946,1957,1928,,USA,,,,,,
Bruno Lawrence,,,M,,,,,,,,,,,,
Delphi Lawrence,Lawrence,Delphi,F,,1954,1967,1927,,Great Britain,,,,,,
Florence Lawrence,Lawrence,Florence,F,lead, silent screen,1909,,1886,1938,USA,,,,,
Gertrude Lawrence,Lawrence-Klasen,Alexandra Dagmar,F,vivacious,1929,1950,1898,1952,Great Britain,,,,,,
Marc Lawrence,Goldsmith,Max,M,Italian ganster,1933,1976,1910,,USA,,,,,,
Steve Lawrence,,,M,,,,,,,,,,,,
Leigh Lawson,Lawson,Leigh,M,light lead,1974,1978,1944,,Great Britain,,,,,,
Wilfrid Lawson,Worsnop,Wilfrid,M,character,1936,1966,1900,1966,Great Britain,,,,,,
Frank Lawton,Lawton,Frank,M,charming but undynamic,1928,1957,1904,1969,Great Britain,,,,,,
George Lazenby,Lazenby,George,M,good-looking lead,1969,1978,1939,,Australia,,,,,,
Robin Leach,,,M,,,,,,,,,,,,
Rosemary Leach,,,F,,,,,,,,,,,,
Cloris Leachman,Leachman,Cloris,F,character,1954,1981,1926,1998,USA,,,,,,
Zarah Leander,,,F,dark-voived singer,1927,1954,1907,1981,Sweden,,,,,,
Michael Learned,Learned,Michael,M,motherly,1972,1981,1939,,USA,,,,,,
JeanPierre Leaud,Leaud,Jean-Pierre,M,lead,1959,1979,1944,,France,,,,,,
Stanley Leavitt,,,M,,,,,,,,,,,,
